name,muscleGroup
Hyperextensions With No Hyperextension Bench,Lower Back
Incline Dumbbell Bench With Palms Facing In,Chest
Incline Dumbbell Flyes,Chest
Incline EZ-bar skullcrusher,Triceps
Incline Hammer Curls,Biceps
Incline Push-Up,Chest
Incline cable chest fly,Chest
Incline cable chest press,Chest
Incline dumbbell bench press,Chest
Incline dumbbell bench press,Chest
Incline dumbbell front raise,Shoulders
Incline dumbbell front raise,Shoulders
Incline dumbbell reverse fly,Shoulders
Incline dumbbell row,Middle Back
Incline face-down bar front raise,Shoulders
Isometric Wipers,Chest
Jog In Place,Quadriceps
Jog In Place,Quadriceps
Jumping jack-,Quadriceps
Jumping rope,Quadriceps
Kettlebell One-Legged Deadlift,Hamstrings
Kettlebell Pistol Squat,Quadriceps
Kettlebell Turkish Get-Up (Squat style),Shoulders
Kettlebell alternating renegade row,Middle Back
Kettlebell pass-through lunge,Hamstrings
Kettlebell sumo deadlift high pull,Traps
Kettlebell thruster,Glutes
Kneeling Cable Crunch With Alternating Oblique Twists,Abdominals
Kneeling Squat,Glutes
Kneeling cable crunch,Abdominals
Kneeling cable oblique crunch,Abdominals
Kneeling cable oblique crunch,Abdominals
Kneeling cable triceps extension,Triceps
Knees tucked crunch,Abdominals
Landmine twist,Abdominals
Lat pull-down,Lats
Leg Extensions,Quadriceps
Leg Press,Quadriceps
Leverage Chest Press,Chest
Leverage Decline Chest Press,Chest
Leverage Incline Chest Press,Chest
Leverage Shrug,Traps
Linear Acceleration Wall Drill,Hamstrings
Low cable overhead triceps extension,Triceps
Low-cable cross-over,Chest
Lying Face Down Plate Neck Resistance,Neck
Lying Face Up Plate Neck Resistance,Neck
Lying Leg Curls,Hamstrings
Lying cable triceps extension,Triceps
Lying cable triceps extension,Triceps
Machine Bicep Curl,Biceps
Machine Bicep Curl,Biceps
Machine Squat,Quadriceps
Machine seated row,Lats
Machine shoulder press,Shoulders
Man-maker,Middle Back
Middle Back Shrug,Middle Back
Military press,Shoulders
Mountain climber,Abdominals
Muscle Up,Lats
Narrow Stance Hack Squats,Quadriceps
Narrow-stance leg press,Quadriceps
Narrow-stance squat,Quadriceps
Narrow-stance squat,Quadriceps
Natural Glute Ham Raise,Hamstrings
Neck Press,Chest
Neutral-grip dumbbell bench press,Chest
Olympic Squat,Quadriceps
One Arm Pronated Dumbbell Triceps Extension,Triceps
One Arm Supinated Dumbbell Triceps Extension,Triceps
One Arm Supinated Dumbbell Triceps Extension,Triceps
One-Arm Dumbbell Row,Middle Back
One-Arm Long Bar Row,Middle Back
Otis-Up,Abdominals
Overhead cable curl,Biceps
Overhead dumbbell front raise,Shoulders
Pallof press,Abdominals
Palms-Down Dumbbell Wrist Curl Over A Bench,Forearms
Palms-Down Dumbbell Wrist Curl Over A Bench,Forearms
Palms-Up Dumbbell Wrist Curl Over A Bench,Forearms
Palms-down wrist curl over bench,Forearms
Palms-up wrist curl over bench,Forearms
Parallel Bar Dip,Triceps
Plate Pinch,Forearms
Plate Twist,Abdominals
Power Clean from Blocks,Hamstrings
Power Partials,Shoulders
Power Snatch,Hamstrings
Power clean,Hamstrings
Power snatch-,Quadriceps
Preacher Curl,Biceps
Preacher Hammer Dumbbell Curl,Biceps
Pull-up,Lats
Pullups,Lats
Push-Ups - Close Triceps Position,Triceps
Push-Ups With Feet On An Exercise Ball,Chest
Push-press,Quadriceps
Pushups,Chest
Rack Pull with Bands,Lower Back
Rack Pull with Bands,Lower Back
Reverse Band Box Squat,Quadriceps
Reverse Barbell Preacher Curls,Biceps
Reverse Cable Curl,Biceps
Reverse Grip Triceps Pushdown,Triceps
Reverse Grip Triceps Pushdown,Triceps
Reverse crunch,Abdominals
Reverse-grip bench press,Triceps
Reverse-grip bent-over row,Middle Back
Reverse-grip bent-over row,Middle Back
Reverse-grip incline dumbbell bench press,Chest
Reverse-grip lat pull-down,Lats
Rickshaw Carry,Forearms
Ring dip,Triceps
Rocking Standing Calf Raise,Calves
Rocky Pull-Ups/Pulldowns,Lats
Rocky Pull-Ups/Pulldowns,Lats
Romanian Deadlift With Dumbbells,Hamstrings
Romanian Deadlift from Deficit,Hamstrings
Rope Crunch,Abdominals
Rope climb,Lats
Rope climb,Lats
Rower,Middle Back
Russian twist,Abdominals
Scissors Jump,Quadriceps
Seated Cable Rows,Middle Back
Seated Calf Raise,Calves
Seated Close-Grip Concentration Barbell Curl,Biceps
Seated Dumbbell Press,Shoulders
Seated Dumbbell Press,Shoulders
Seated Flat Bench Leg Pull-In,Abdominals
Seated Flat Bench Leg Pull-In,Abdominals
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Forearms
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms
Seated Palms-Down Barbell Wrist Curl,Forearms
Seated Palms-Down Barbell Wrist Curl,Forearms
Seated Side Lateral Raise,Shoulders
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms
Seated barbell shoulder press,Shoulders
Seated cable shoulder press,Shoulders
Seated dumbbell biceps curl,Biceps
Seated dumbbell shoulder press,Shoulders
Seated face pull,Shoulders
Seated face pull,Shoulders
Seated finger curl,Forearms
Seated palms-down wrist curl,Forearms
Seated palms-up wrist curl,Forearms
Seated rear delt fly,Shoulders
Seated triceps press,Triceps
Shotgun row,Lats
Side Lateral Raise,Shoulders
Side To Side Chins,Lats
Side Wrist Pull,Shoulders
Side-to-side box skip,Quadriceps
Single Leg Push-off,Quadriceps
Single Leg Push-off,Quadriceps
Single-Arm Push-Up,Chest
Single-Leg Press,Quadriceps
Single-arm bent-over cable rear delt fly,Shoulders
Single-arm cable cross-over,Chest
Single-arm cable front raise,Shoulders
Single-arm cable seated row,Middle Back
Single-arm cable triceps extension,Triceps
Single-arm dumbbell preacher curl,Biceps
Single-arm dumbbell preacher curl,Biceps
Single-arm dumbbell triceps extension,Triceps
Single-arm dumbbell triceps extension,Triceps
Single-arm high-cable side bend,Abdominals
Single-arm incline lateral raise,Shoulders
Single-arm incline rear delt raise,Shoulders
Single-arm incline rear delt raise,Shoulders
Single-arm kettlebell clean,Hamstrings
Single-arm kettlebell clean and jerk,Shoulders
Single-arm kettlebell push-press,Shoulders
Single-arm kettlebell row,Chest
Single-arm kettlebell snatch,Shoulders
Single-arm kettlebell snatch,Shoulders
Single-arm lateral raise,Shoulders
Single-arm palm-in dumbbell shoulder press,Shoulders
Single-arm standing shoulder press,Shoulders
Single-dumbbell front raise,Shoulders
Single-leg cable hip extension,Glutes
Single-leg depth squat,Quadriceps
Single-leg glute bridge,Glutes
Skating,Quadriceps
Sledgehammer swing,Abdominals
Sledgehammer swing,Abdominals
Smith Machine Calf Raise,Calves
Smith machine back squat,Quadriceps
Smith machine bench press,Chest
Smith machine box squat,Quadriceps
Smith machine shoulder press,Shoulders
Smith machine shrug,Traps
Snatch Deadlift,Hamstrings
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders
Spider crawl,Abdominals
Split Squat with Dumbbells,Quadriceps
Squat with Chains,Quadriceps
Stair climber,Quadriceps
Stairmaster,Quadriceps
Standing Biceps Cable Curl,Biceps
Standing Bradford press,Shoulders
Standing Calf Raises,Calves
Standing Dumbbell Triceps Extension,Triceps
Standing Hip Circles,Abductors
Standing Olympic Plate Hand Squeeze,Forearms
Standing Olympic Plate Hand Squeeze,Forearms
Standing One-Arm Cable Curl,Biceps
Standing One-Arm Dumbbell Curl Over Incline Bench,Biceps
Standing One-Arm Dumbbell Curl Over Incline Bench,Biceps
Standing One-Arm Dumbbell Triceps Extension,Triceps
Standing barbell overhead triceps extension,Triceps
Standing barbell overhead triceps extension,Triceps
Standing behind-the-back wrist curl,Forearms
Standing cable crunch,Abdominals
Standing cable crunch,Abdominals
Standing cable low-to-high twist,Abdominals
Standing cable rear delt row,Shoulders
Standing concentration curl,Biceps
Standing dumbbell shoulder press,Shoulders
Standing dumbbell shoulder press,Shoulders
Standing dumbbell shrug,Traps
Standing dumbbell upright row,Traps
Standing face pull,Shoulders
Standing leg swing,Hamstrings
Standing palms-in shoulder press,Shoulders
Stationary bike,Quadriceps
Step-up with knee raise,Glutes
Step-up with knee raise,Glutes
Stiff-Legged Dumbbell Deadlift,Hamstrings
Stomach Vacuum,Abdominals
Straight-Arm Pulldown,Lats
Straight-arm dumbbell pull-over,Chest
Straight-arm rope pull-down,Lats
Straight-bar wrist roll-up,Forearms
Sumo deadlift,Hamstrings
Superman,Lower Back
Suspended ab fall-out,Abdominals
T-Bar Row,Middle Back
T-Bar Row with Handle,Middle Back
Thigh adductor,Adductors
Tire flip,Quadriceps
Trail Running/Walking,Quadriceps
Treadmill jogging,Quadriceps
Treadmill running,Quadriceps
Tricep Dumbbell Kickback,Triceps
Triceps Pushdown,Triceps
Triceps Pushdown - Rope Attachment,Triceps
Triceps dip,Triceps
Two-Arm Kettlebell Military Press,Shoulders
Upside-down pull-up,Middle Back
V-bar pull-up,Lats
V-up,Abdominals
Weighted Crunches,Abdominals
Weighted Jump Squat,Quadriceps
Weighted bench dip,Triceps
Weighted pull-up,Lats
Weighted sissy squat,Quadriceps
Wide Stance Stiff Legs,Hamstrings
Wide-Grip Decline Barbell Bench Press,Chest
Wide-Grip Rear Pull-Up,Lats
Wide-grip barbell curl,Biceps
Wide-grip bench press,Chest
Wide-grip hands-elevated push-up,Chest
Wrist Roller,Forearms
Yates Row Reverse Grip,Middle Back
Zottman Curl,Biceps
